Name of Place ,Type of Location,Location,Accessbilty Feature,User Rate,Contatc Information,Disability preferences ,Disability preferences ,Disability preferences ,Disability preferences 
west  village,shopping malls,"3699 McKinney Ave Ste 402, Dallas, TX 75204",Fully accesible,4,West Village,Physical Disability,Auditory Disability,Speech Disability ,Eye Disability
Mockingbird Station,shopping malls,"5307 E Mockingbird Ln, Dallas, TX 75206",Fully accesible,3.9,Mockingbird Station,Physical Disability,Auditory Disability,Speech Disability ,Eye Disability
Town East Mal,shopping malls,"2063 Town East Mall, Mesquite, TX 75150",Fully accesible,4,Town East Mall,Physical Disability,Auditory Disability,Speech Disability ,Eye Disability
Nike Dallas North Park,shopping malls,"
8687 N Central Expy, 1620, Dallas, TX 75225 ",Fully accesible,4.5,Nike,Physical Disability,Auditory Disability,Speech Disability ,Eye Disability
Dallas Galleria,shopping malls,"13350 Dallas Pkwy, Dallas, TX 75240","except blindness ,, fully accesible",4.4,https://www.northparkcenter.com/,Physical Disability,Auditory Disability,Speech Disability ,
Victory Park,shopping malls,"2404 Victory Park Ln, Dallas, TX 75219",Fully accesible,5,Victory Park,Physical Disability,Auditory Disability,Speech Disability ,Eye Disability
The Shops at Park Lane,shopping malls,"8060 Park Ln, Dallas, TX 75231",Fully accesible,4.4,https://www.shopparklane.com/,Physical Disability,Auditory Disability,Speech Disability ,Eye Disability
Lakeside Market,shopping malls,"11840 W. Dallas Parkway, Dallas, TX 75234","except blindness ,, fully accesible",4.2,https://lakesidemarket.com/,Physical Disability,Auditory Disability,Speech Disability ,
Valley View Center,shopping malls,"13331 Preston Rd, Dallas, TX 75240",provides wheelchair facility,4,http://www.valleyviewcenter.com/,Physical Disability,,,
Klyde Warren Park,shopping malls,"2012 Woodall Rodgers Fwy, Dallas, TX 75201",Fully accesible,4.7,https://www.klydewarrenpark.org/,Physical Disability,Auditory Disability,Speech Disability ,Eye Disability
Inwood Village,shopping malls,"5555 W Lovers Ln, Dallas, TX 75209","except blindness ,, fully accesible",4.4,https://inwoodvillage.com/,Physical Disability,Auditory Disability,Speech Disability ,
Neiman Marcus,shopping malls,"1618 Main St, Dallas, TX 75201",Fully accesible,4.6,https://www.neimanmarcus.com/,Physical Disability,Auditory Disability,Speech Disability ,Eye Disability
Forty Five Ten,shopping malls,"1615 Main St, Dallas, TX 75201","except blindness ,, fully accesible",4.4,https://www.fortyfiveten.com/,Physical Disability,Auditory Disability,Speech Disability ,
Dallas Market Center,shopping malls,"2100 N Stemmons Fwy, Dallas, TX 75207",Fully accesible,4,Dallas Market Center,Physical Disability,Auditory Disability,Speech Disability ,Eye Disability
Dolly Python,shopping malls,"1916 N Haskell Ave, Dallas, TX 75204","except blindness ,, fully accesible",4.5,https://www.dollypythonvintage.com/,Physical Disability,Auditory Disability,Speech Disability ,
Rye 51,shopping malls,"3699 McKinney Ave #310, Dallas, TX 75204","except blindness ,, fully accesible",4.6,https://www.rye51.com/,Physical Disability,Auditory Disability,Speech Disability ,
Mizzen+Main,shopping malls,"3699 McKinney Ave #407, Dallas, TX 75204","except blindness ,, fully accesible",4.3,https://www.mizzenandmain.com/,Physical Disability,Auditory Disability,Speech Disability ,
Walmart Supercenter,shopping malls,"7401 Samuell Blvd, Dallas, TX 75228",Fully accesible,1.5,https://www.walmart.com/,Physical Disability,Auditory Disability,Speech Disability ,Eye Disability
Keepsake,shopping malls,"300 N Akard St, Dallas, TX 75201","except blindness ,, fully accesible",4.8,https://shopatkeepsake.com/,Physical Disability,Auditory Disability,Speech Disability ,
Shop September,shopping malls,"1403 Slocum St, Dallas, TX 75207","except blindness ,, fully accesible",4.5,https://shopseptember.com/,Physical Disability,Auditory Disability,Speech Disability ,
Wynnewood Village,shopping malls,"655 W Illinois, Dallas, TX 75224","except blindness ,, fully accesible",,https://wynnewoodvillage.com/,Physical Disability,Auditory Disability,Speech Disability ,
The Impeccable Pig,shopping malls,"6601 Hillcrest Ave, Dallas, TX 75205","except blindness ,, fully accesible",4.5,"Impeccable Pig- Cute Dresses, Tops, Jewelry & Clothing for Women – The Impeccable Pig",Physical Disability,Auditory Disability,Speech Disability ,
Stag Provisions for Men,shopping malls,"3130 Knox St Suite 110, Dallas, TX 75205","except blindness ,, fully accesible",4.6,https://stagprovisions.com/,Physical Disability,Auditory Disability,Speech Disability ,
Stanley Korshak Bridal Salon,shopping malls,"500 Cres Ct Ste 142, Dallas, Tx 75201",Fully accesible,,https://www.stanleykorshak.com/,Physical Disability,Auditory Disability,Speech Disability ,Eye Disability
Folklore & Tradition,shopping malls,"
1011 S Pearl Expy Ste 150, Dallas, TX 75201","except blindness ,, fully accesible",5,,Physical Disability,Auditory Disability,Speech Disability ,
Market Highland Park,shopping malls,"26B Highland Park Vlg, Dallas, TX 75205","except blindness ,, fully accesible",4.7,https://markethighlandpark.com/,Physical Disability,Auditory Disability,Speech Disability ,
Pitaya,shopping malls,"3699 Mckinney Ave Ste 409, Dallas, TX 75204","except blindness ,, fully accesible",3.6,https://www.pitaya.com/,Physical Disability,Auditory Disability,Speech Disability ,
Ross Dress for Less,shopping malls,"2405 N Haskell Ave., Dallas, TX 75204",Fully accesible,1.9,https://www.rossstores.com/,Physical Disability,Auditory Disability,Speech Disability ,Eye Disability
Skivvies,shopping malls,"
4001 Cedar Springs Rd Ste C, Dallas, TX 75219","except blindness ,, fully accesible",4.3,,Physical Disability,Auditory Disability,Speech Disability ,
Katydid Katydid com,shopping malls,"2311 Farrington St, Dallas, TX 75207","except blindness ,, fully accesible",4.8,https://www.katydid.com/,Physical Disability,Auditory Disability,Speech Disability ,
Fashion Industry Gallery,shopping malls,"1807 Ross Ave Ste 167, Dallas, TX 75201",Fully accesible,4.2,fashionindustrygallery.com,Physical Disability,Auditory Disability,Speech Disability ,Eye Disability
Outlines Menswear,shopping malls,"3906 Cedar Springs Rd, Dallas, TX 75219","except blindness ,, fully accesible",3.8,outlinesmenswear.com,Physical Disability,Auditory Disability,Speech Disability ,
Traffic Los Angeles,shopping malls,"1608 Main St, Dallas, TX 75201","except blindness ,, fully accesible",4.4,shoptrafficla.com,Physical Disability,Auditory Disability,Speech Disability ,
Commerce Goods + Supply,shopping malls,"1321 Commerce St, Dallas, TX 75202",Fully accesible,4.7,https://commercegoodsandsupply.com/,Physical Disability,Auditory Disability,Speech Disability ,Eye Disability
Stanley Korshak Bridal Salon,shopping malls,"500 Cres Ct Ste 142, Dallas, Tx 75201","except blindness ,, fully accesible",,stanleykorshak.com,Physical Disability,Auditory Disability,Speech Disability ,
Bonobos,shopping malls,"1901 N. Henderson Avenue, Dallas, TX 75206","except blindness ,, fully accesible",3.1,bonobos.com,Physical Disability,Auditory Disability,Speech Disability ,
Q Clothier,shopping malls,"3699 Mckinney Ave, Dallas, TX 75204","except blindness ,, fully accesible",3.6,qclothier.com,Physical Disability,Auditory Disability,Speech Disability ,
Don Morphy,shopping malls,"1500 Hi Line Dr Ste A, Dallas, TX 75207","except blindness ,, fully accesible",4.2,donmorphy.com,Physical Disability,Auditory Disability,Speech Disability ,
francesca's,shopping malls,"3699 McKinney Avenue, 501, Dallas, TX 75204","except blindness ,, fully accesible",,francescas.com,Physical Disability,Auditory Disability,Speech Disability ,
Layette,shopping malls,"4250 Oak Lawn Ave, Dallas, TX 75219","except blindness ,, fully accesible",3.5,layettedallas.com,Physical Disability,Auditory Disability,Speech Disability ,
UNTUCKit,shopping malls,"3699 McKinney Ave, Suite C313, Dallas, TX 75204",Fully accesible,3,untuckit.com,Physical Disability,Auditory Disability,Speech Disability ,Eye Disability
Men's Wearhouse,shopping malls,"3501 McKinney Ave, Dallas, TX 75204","except blindness ,, fully accesible",3.3,menswearhouse.com,Physical Disability,Auditory Disability,Speech Disability ,
Flea Style,shopping malls,"3009 Commerce St, Dallas, TX 75226","except blindness ,, fully accesible",4.8,https://fleastyle.com/,Physical Disability,Auditory Disability,Speech Disability ,
Esther Penn,shopping malls,"3311 Knox St, Dallas, TX 75205","except blindness ,, fully accesible",4.5,https://estherpenn.com/,Physical Disability,Auditory Disability,Speech Disability ,
